dub_temp,dub_wddir,dub_wdsp,date,dayInMonth,hour,dayOfWeek,dayOfYear,sin_hour,sin_day,cos_hour,cos_day,index,predictedGeneration,rawTemp
8.554387735755173e+16,-3.8826923205093033e+18,-1.7620333542087066e+16,2022-07-18 18:00:00+00:00,18,18,0,199,-1.0,-0.2802306751992161,-1.0,-0.2802306751992161,47,2.3086019e+21,
7.104973202454462e+16,-2.742553091315434e+18,-2.575279517689648e+16,2022-07-18 19:00:00+00:00,18,19,0,199,-0.9659258262890684,-0.2802306751992161,-0.9659258262890684,-0.2802306751992161,48,1.8317792e+21,26.6
6.451315667828651e+16,-2.6471959921464924e+18,-3.3885256811705896e+16,2022-07-18 20:00:00+00:00,18,20,0,199,-0.8660254037844386,-0.2802306751992161,-0.8660254037844386,-0.2802306751992161,49,1.4617415e+21,
6.394475882209016e+16,-3.1778789788258207e+18,-4.4728538991451784e+16,2022-07-18 21:00:00+00:00,18,21,0,199,-0.7071067811865477,-0.2802306751992161,-0.7071067811865477,-0.2802306751992161,50,1.5698104e+21,26.1
6.4228957750188344e+16,-3.237995410910588e+18,-4.337312871898355e+16,2022-07-18 22:00:00+00:00,18,22,0,199,-0.5000000000000004,-0.2802306751992161,-0.5000000000000004,-0.2802306751992161,51,1.7430801e+21,
6.280796310969745e+16,-3.229703489243724e+18,-4.066230817404708e+16,2022-07-18 23:00:00+00:00,18,23,0,199,-0.2588190451025207,-0.2802306751992161,-0.2588190451025207,-0.2802306751992161,52,1.7592615e+21,25.1
6.138696846920656e+16,-3.416271726748175e+18,-3.930689790157884e+16,2022-07-19 00:00:00+00:00,19,0,1,200,0.0,-0.2967128192734901,0.0,-0.2967128192734901,53,1.8054973e+21,
6.337636096589381e+16,-2.4834305392259185e+18,-1.7620333542087066e+16,2022-07-19 01:00:00+00:00,19,1,1,200,0.25881904510252074,-0.2967128192734901,0.25881904510252074,-0.2967128192734901,54,1.6334135e+21,24.2
5.5702989907242984e+16,-5.611557988050552e+18,-5421641089872945.0,2022-07-19 02:00:00+00:00,19,2,1,200,0.49999999999999994,-0.2967128192734901,0.49999999999999994,-0.2967128192734901,55,2.2063129e+21,
5.485039312294845e+16,-6.160897798480325e+18,-1.3554102724682358e+16,2022-07-19 03:00:00+00:00,19,3,1,200,0.7071067811865475,-0.2967128192734901,0.7071067811865475,-0.2967128192734901,56,3.2240594e+21,23.3
5.172420491386848e+16,-6.233452113065389e+18,-2.033115408702354e+16,2022-07-19 04:00:00+00:00,19,4,1,200,0.8660254037844386,-0.2967128192734901,0.8660254037844386,-0.2967128192734901,57,3.4045474e+21,
5.030321027337759e+16,-6.453188037237299e+18,-1.7620333542087066e+16,2022-07-19 05:00:00+00:00,19,5,1,200,0.9659258262890683,-0.2967128192734901,0.9659258262890683,-0.2967128192734901,58,3.484183e+21,22.6
