StartTime,	EndTime,	NetImbalanceVolume,	ImbalanceSettlementPrice
2024-06-11T13:00:00, 	2024-06-11T13:30:00, 	-20.879, 	62.62
2024-06-11T13:30:00, 	2024-06-11T14:00:00, 	-25.264, 	63.4
2024-06-11T14:00:00, 	2024-06-11T14:30:00, 	-18.248, 	82.82
2024-06-11T14:30:00, 	2024-06-11T15:00:00, 	-24.058, 	63.77
2024-06-11T15:00:00, 	2024-06-11T15:30:00, 	-35.044, 	50.45
2024-06-11T15:30:00, 	2024-06-11T16:00:00, 	-22.772, 	62.78
2024-06-11T16:00:00, 	2024-06-11T16:30:00, 	-6.89, 	84.71
2024-06-11T16:30:00, 	2024-06-11T17:00:00, 	-2.631, 	112.2
2024-06-11T17:00:00, 	2024-06-11T17:30:00, 	5.617, 	164.77
2024-06-11T17:30:00, 	2024-06-11T18:00:00, 	7.022, 	152.47
2024-06-11T18:00:00, 	2024-06-11T18:30:00, 	3.588, 	163.63
2024-06-11T18:30:00, 	2024-06-11T19:00:00, 	5.87, 	159.44
2024-06-11T19:00:00, 	2024-06-11T19:30:00, 	3.299, 	125.83
2024-06-11T19:30:00, 	2024-06-11T20:00:00, 	7.02, 	143.13
2024-06-11T20:00:00, 	2024-06-11T20:30:00, 	11.308, 	145.25
2024-06-11T20:30:00, 	2024-06-11T21:00:00, 	15.118, 	153.59
2024-06-11T21:00:00, 	2024-06-11T21:30:00, 	19.054, 	157.85
2024-06-11T21:30:00, 	2024-06-11T22:00:00, 	11.054, 	147.17
2024-06-11T22:00:00, 	2024-06-11T22:30:00, 	9.774, 	147.11
2024-06-11T22:30:00, 	2024-06-11T23:00:00, 	-3.181, 	86.32
2024-06-11T23:00:00, 	2024-06-11T23:30:00, 	-1.993, 	85.1
2024-06-11T23:30:00, 	2024-06-12T00:00:00, 	-1.481, 	90.76
2024-06-12T00:00:00, 	2024-06-12T00:30:00, 	15.949, 	145.69
2024-06-12T00:30:00, 	2024-06-12T01:00:00, 	12.951, 	134.65
2024-06-12T01:00:00, 	2024-06-12T01:30:00, 	6.122, 	106.79
2024-06-12T01:30:00, 	2024-06-12T02:00:00, 	5.499, 	107.24
2024-06-12T02:00:00, 	2024-06-12T02:30:00, 	4.415, 	107.24
2024-06-12T02:30:00, 	2024-06-12T03:00:00, 	4.807, 	107.24
2024-06-12T03:00:00, 	2024-06-12T03:30:00, 	5.244, 	106.76
2024-06-12T03:30:00, 	2024-06-12T04:00:00, 	8.281, 	108.54
2024-06-12T04:00:00, 	2024-06-12T04:30:00, 	-1.623, 	81.91
2024-06-12T04:30:00, 	2024-06-12T05:00:00, 	5.687, 	145.56
2024-06-12T05:00:00, 	2024-06-12T05:30:00, 	30.077, 	163.73
2024-06-12T05:30:00, 	2024-06-12T06:00:00, 	38.47, 	218.77
2024-06-12T06:00:00, 	2024-06-12T06:30:00, 	50.431, 	245.91
2024-06-12T06:30:00, 	2024-06-12T07:00:00, 	57.239, 	341.12
2024-06-12T07:00:00, 	2024-06-12T07:30:00, 	46.54, 	278.67
2024-06-12T07:30:00, 	2024-06-12T08:00:00, 	45.04, 	270.64
2024-06-12T08:00:00, 	2024-06-12T08:30:00, 	42.157, 	231.44
2024-06-12T08:30:00, 	2024-06-12T09:00:00, 	44.268, 	233.64
2024-06-12T09:00:00, 	2024-06-12T09:30:00, 	39.965, 	169.51
2024-06-12T09:30:00, 	2024-06-12T10:00:00, 	23.145, 	151.72
2024-06-12T10:00:00, 	2024-06-12T10:30:00, 	-14.106, 	94.78
2024-06-12T10:30:00, 	2024-06-12T11:00:00, 	-17.254, 	79.44
2024-06-12T11:00:00, 	2024-06-12T11:30:00, 	-15.36, 	82.36
